pace              n.步,步伐,步调,速度 v.踱步,用步测
pill              n.药丸
pillow            n.枕头
pilot             n.飞行员;领港员 v.驾驶(飞机等);领航,引水
pinch             v.捏,掐,拧;收缩;紧急关头;匮乏;压力
pine              n.松树
pink              n.粉红色 a.粉红色的
pin               n.钉;大头针,别针,徽章 v.(up)钉住,别住
pint              n.品脱
pin               大头针，别针
pioneer           n.先驱,倡导者,开拓者
pipe              n.管子,导管;烟斗;笛
pirate            n./v.海盗,盗版(者)
pistol            n.手枪
piston            n.活塞
pitch             n.沥青;掷 v.用沥青覆盖;投掷,扔
pit               n.坑,陷阱;煤矿,矿井
pity              v.(觉得)可怜,惋惜 n.憾事,怜悯
place             n.地方;名次;地位;寓所 v.安排;放置;投(资)
plague            n.瘟疫,灾害,麻烦,苦恼 vt.折磨,使苦恼
plain             a.明白的;朴素的;坦率;平凡 n.平原,旷野
plane             n.飞机;平面,水平面
planet            n.行星
plan              n.计划,规划;平面图,设计图 v.计划
plantation        n.种植园
plant             n.植物,作物;工厂;装置 v.栽种,播种,栽培
plaster           n.灰泥;熟石膏;膏药
plastic           n.(常pl.)塑料,塑料制品 a.可塑的,塑性的
plateau           n.高原,平稳状态[时期]
plate             n.金属板,片;盘子,盆子;板,钢板v.镀,电镀
platform          n.平台,台;站台,月台;政纲,党纲
plausible         a.似是而非的,似乎合理的,似乎可信的
playground        n.运动场,游戏场
play              v.玩，做游戏;参加比赛n.游戏;玩耍;剧本
plead             v.恳求,请求;为…辩护;提出…为理由
plea              n.(法律)抗辩;请求，恳求，托词，口实
pleasant          a.令人愉快的 vt.使高兴 vi.满意;喜欢
please            v.请;使愉快,使满意;喜欢,愿意
pleasure          n.愉快,快乐;乐事,乐趣
pledge            n.誓约;保证 v.发誓;保证
plentiful         a.富裕的,丰富的
plenty            n.丰富,大量
plight            n.情况,状态,困境,盟誓(婚姻) v.保证,约定
plot              n.秘密计划;情节 v.标绘,绘制;密谋,策划
plough            n.(plow)犁,耕地,犁过的地 v.犁,费力地前进
plug              n.塞子,插头 v.堵,塞,插上,插栓
plumber           n.(装修水管的)管子工
plunge            v.(into)(使)投入,(使)插进,陷入;猛冲
plural            a.复数的 n.复数
plus              prep.加上 a.正的,加的 n.加号,正号
pneumonia         n.肺炎
pocket            n.衣袋 a.袖珍的,小型的 v.把…装入袋内
poem              n.诗
poet              n.诗人
poetry            n.诗歌,诗集
point             n.尖;点;条款;分数,得分;论点 v.(at,to)指
poison            n.毒物,毒药 v.放毒,毒害,污染
poisonous         a.有毒的,恶意的,恶毒的,道德败坏的
poke              n.刺,戳,懒汉,袋子 v.戳,刺,伸出,刺探,闲荡
polar             a.两极的,极地的,南辕北辙的 n.极线,极面
pole              n.柱,杆;地极,磁极,电极
policeman         n.警察
police            n.警察,警察机关 a.警察的 v.管辖
policy            n.政策,方针
polish            v.磨光,擦亮;使优美,润饰 n.擦光剂,上光蜡
polite            a.有礼貌的,客气的;有教养的,文雅的
political         a.政治的
politician        n.政治家,政客
politics          n.政治,政治学;政纲,政见
poll              n.民意测验;(pl.)政治选举 v.获得…选票
pollute           v.弄脏,污染
pollution         n.污染
poll              民意测验
ponder            v.沉思,考虑
pond              n.池塘
pool              n.水池,游泳池;合资经营v.合伙经营,联营
poor              a.贫困的;可怜的;贫乏的;贫瘠的;低劣的
pop               a.流行的n.(发出)砰的一声 v.突然出现
pope              n.罗马教皇,主教,大腿上要害部位
popular           a.流行的,通俗的,大众的;广受欢迎的
population        n.人口,(全体)居民
porcelain         n.瓷器 a.精制的,瓷器的
porch             n.门廊,入口处
pork              n.猪肉
portable          a.轻便的,手提(式)的,可移动的
porter            n.守门人,门房,行李搬运工,服务员
portion           n.一部分,一份
port              n.港口
portrait          n.肖像,画像
portray           v.描写，描述;画(人物、景象等)
pose              n.姿势,姿态 v.造成,提出,摆姿势,佯装
position          n.位置;职位;姿势,姿态;见解,立场,形势
positive          a.肯定的,积极的,绝对的,无疑的,正的
possession        n.持有,拥有;所有权;所有物;(pl.)财产,财富
possess           v.占有,拥有
possibility       n.可能,可能性;可能的事,希望
possible          a.可能的,做得到的;合理的;可允许的
possibly          ad.可能地，也许;无论如何
postage           n.邮费,邮资
postcard          n.明信片
poster            n海报,张贴的大幅广告
postman           n.邮递员
postpone          v.推迟,延期
posture           n.姿势,姿态,心态,态度 v.作出某种姿势
post              v.贴出;公告;投寄 n.(支)柱;邮政,邮寄;职位
potato            n.马铃薯,土豆
potential         a.潜在的,可能的 n.潜能,潜力
pot               n.罐,壶
poultry           n.家禽
pound             n.磅;英镑 v.(连续)猛击,(猛烈)敲打,捣碎
pour              v.灌注, 倾泻, 涌入, 流, 倾盆大雨
poverty           n.贫穷,贫困
powder            n.粉末,药粉;火药,炸药
powerful          a.强大的,有力的,有权的
power             n.力,精力;功率,电力;(数学)幂;权力,势力
practical         a.实际的,实用的
practically       ad.几乎,实际上,简直
practice          n.练习,实践,实际,业务,惯例,习惯
practise          v.练习,实习,实践,实行,使...练习,训练
practitioner      n.实践者，从事者;(医生或律师等)开业者
praise            v.赞扬,歌颂;表扬 n.称赞,赞美;赞美的话
prayer            n.祈祷,祷告,祷文
pray              v.请求,恳求;祈祷,祈求
preach            v.宣讲(教义),布道;竭力鼓吹,宣传;说教
precaution        n.预防,谨慎,警惕
precedent         n.先例
precede           v.领先(于),在(…之前);优先,先于
preceding         a.在前的,在先的
precious          a.珍贵的,贵重的
precise           a.精确的,准确的
precision         n.精确,精确度
preclude          v.排除,阻止,妨碍
predecessor       n.前辈，前任
predict           v.预言,预测,预告
predominant       a.(over)占优势的;主要的,突出的
preface           n.序言,引言,前言 v.作序,写前言
preferable        a.(to)更可取的,更好的
preference        n.(for,to)偏爱,喜爱;优惠;优先选择
prefer            v.(to)更喜欢,宁愿
pregnant          a.怀孕的,孕育的,充满的,意味深长的
prejudice         n.偏见,成见;损害,侵害 v.使抱偏见,损害
preliminary       a.预备的,初步的
premier           n.首相,总理
premise           n.前提,房屋连地基v.提论,预述,假定
premium           n.额外费用,奖金,奖赏,保险费
preparation       n.准备,预备;制剂,制备品
prepare           v.准备,预备
preposition       n.介词
prescribe         v.指示,规定;处(方),开(药)
prescription      n.药方,处方
presence          n.出席,到场,存在,在
present           a.出席的,现在的 n.现在,礼物 v.赠送,提出
presently         ad.一会儿,不久;现在,目前
preserve          v.保护,维持;保存,保藏
president         n.总统,校长,会长,主席
preside           v.(at,over)主持
pressure          n.压,压力,压迫,强制,紧迫,困苦,困难
press             v.压;压榨;紧迫,催促 n.报刊,通讯社;压榨机
prestige          n.声望,威望,威信
presumably        ad.推测起来,大概
presume           v.假定,假设,认为,揣测,滥用,擅自行动
pretend           v.假装,假托,借口,(在演戏中)装扮
pretext           n.借口,托词
pretty            ad.相当，很a.漂亮的，俊俏的，标致的
prevail           v.(over,against)取胜,占优势;流行,盛行
prevalent         a.流行的,普遍的
prevent           v.(from)预防,防止,阻止,制止,妨碍
previous          a.先前的,以前的
prey              n.被掠食者,牺牲者,掠食 v.捕食,掠夺,折磨
price             n.价格,价钱;代价 v.标价
prick             n./v.刺伤,刺痛,刺孔
pride             n.自豪;自满;引以自豪的东西 v.使自豪
priest            n.教士,神父
primary           a.最初的,初级的;首要的,主要的,基本的
prime             a.首要的;最好的,第一流的 n.青春,全盛期
primitive         a.原始的,远古的,早期的;粗糙的,简单的
prince            n.王子,亲王
princess          n.公主,王妃
principal         a.最重要的,主要的n.负责人,校长;资本,本金
principle         n.原理,原则;主义,信念
print             n.印刷,印刷品,字体 v.印刷,出版;洗印
prior             a.优先的,在前的;(to)在…之前
priority          n.先,前;优先,重点,优先权
prior             在先的，在前的
prisoner          n.囚犯
prison            n.监狱
privacy           n.(不受干扰的)独处，自由，隐私;私生活
private           a.私人的,个人的,秘密的,私下的
privilege         n.特权,优惠,特许 v.给予优惠,给予特权
prize             n.奖赏,奖金,奖品 v.珍视,珍惜
probability       n.可能性,或然性,概率
probable          a.很可能的,大概的;有希望的,可能的
probe             n.探针,探测器 v.(以探针等)探查,穿刺,查究
problem           n.问题,疑难问题;思考题,讨论题
procedure         n.程序,手续,步骤
proceeding        n.行动,进行,(pl.)会议录,学报
proceed           v.进行,继续下去;发生
procession        n.队伍,行列
process           n.过程,进程;工序,制作法;工艺 v.加工,处理
proclaim          v.宣告,声明
produce           v.生产,制造,显示,演出,导致 n.产品
production        n.生产,产品,作品,(研究)成果,总产量
productive        a.生产(性)的,能产的,多产的
productivity      n.生产率
product           n.产品,产物;乘积
professional      a.职业的,专门的 n.自由职业者,专业人员
profession        n.职业,专业,表白,宣布
professor         n.教授
proficiency       n.(in)熟练,精通
profile           n.侧面(像);轮廓,外形;人物简介
profitable        a.有利可图的,有益的
profit            n.利润,收益 v.(by,from)得利,获益;有利于
profound          a.深刻的,意义深远的;渊博的,造诣深的
programme         n.(program)节目,计划,规划,程序 v.编程序
progressive       a.进步的,先进的;前进的
progress          v./n.进步，进展;前进
prohibit          v.禁止,不准;阻止
project           n.方案,工程,项目v.投射,放映;设计,规划
projector         n.放映机,幻灯机,投影仪
project           计划，方案
prolong           v.拉长,延长,拖延
prominent         a.突起的,凸出的;突出的,杰出的
promise           v.允许,答应;有…可能n.承诺;希望,出息
promising         a.有希望的,有前途的
prompt            adj.敏捷的，迅速的
pronounce         v.发音
propose           v.提议，建议
prosper           v.兴旺，繁荣，昌盛，成功
provoke           v.挑动，激起，导致
pump              n.泵
puppet            n.木偶,傀儡
purchase          v.买,购买 n.购买的物品
pure              a.纯的,纯洁的;纯理论的,抽象的;完全的
purify            v.使纯净,提纯
purple            a.紫的 n.紫色
purpose           n.目的,意图;用途,效果
purse             n.钱包
pursue            v.追赶,追踪;继续,从事
pursuit           n.追赶,追求;职业,工作
push              v.推;催逼,逼迫 n.推,推力;促进,推进
put               vt.放，搁，置;表达;使处于...状态，记下
puzzle            n.难题,谜,迷惑 v.(使)迷惑,(使)为难
pyramid           n.金字塔
